date,code,close_price,volume,company
03/01/2000,AAPL,3.997768,133949200,Apple
04/01/2000,AAPL,3.660714,128094400,Apple
05/01/2000,AAPL,3.714286,194580400,Apple
06/01/2000,AAPL,3.392857,191993200,Apple
07/01/2000,AAPL,3.553571,115183600,Apple
10/01/2000,AAPL,3.491071,126266000,Apple
11/01/2000,AAPL,3.3125,110387200,Apple
12/01/2000,AAPL,3.113839,244017200,Apple
13/01/2000,AAPL,3.455357,258171200,Apple
14/01/2000,AAPL,3.587054,97594000,Apple
18/01/2000,AAPL,3.712054,114794400,Apple
19/01/2000,AAPL,3.805804,149410800,Apple
20/01/2000,AAPL,4.053571,457783200,Apple
21/01/2000,AAPL,3.975446,123981200,Apple
24/01/2000,AAPL,3.794643,110219200,Apple
25/01/2000,AAPL,4.008929,124286400,Apple
26/01/2000,AAPL,3.935268,91789600,Apple
27/01/2000,AAPL,3.928571,85036000,Apple
28/01/2000,AAPL,3.629464,105837200,Apple
31/01/2000,AAPL,3.705357,175420000,Apple
01/02/2000,AAPL,3.580357,79508800,Apple
02/02/2000,AAPL,3.529018,116048800,Apple
03/02/2000,AAPL,3.689732,118798400,Apple
04/02/2000,AAPL,3.857143,106330000,Apple
07/02/2000,AAPL,4.073661,110266800,Apple
08/02/2000,AAPL,4.102679,102160800,Apple
09/02/2000,AAPL,4.022321,74841200,Apple
10/02/2000,AAPL,4.053571,75745600,Apple
11/02/2000,AAPL,3.883929,53062800,Apple
14/02/2000,AAPL,4.136161,91884800,Apple
15/02/2000,AAPL,4.25,121436000,Apple
16/02/2000,AAPL,4.075893,94561600,Apple
17/02/2000,AAPL,4.102679,72374400,Apple
18/02/2000,AAPL,3.973214,58360400,Apple
22/02/2000,AAPL,4.064732,105574000,Apple
23/02/2000,AAPL,4.151786,118274800,Apple
24/02/2000,AAPL,4.114397,94108000,Apple
25/02/2000,AAPL,3.941964,62286000,Apple
28/02/2000,AAPL,4.044643,82082000,Apple
29/02/2000,AAPL,4.09375,92240400,Apple
01/03/2000,AAPL,4.654018,269250800,Apple
02/03/2000,AAPL,4.357143,77814800,Apple
03/03/2000,AAPL,4.571429,80841600,Apple
06/03/2000,AAPL,4.488839,52640000,Apple
07/03/2000,AAPL,4.388393,68252800,Apple
08/03/2000,AAPL,4.357143,67807600,Apple
09/03/2000,AAPL,4.366071,69179600,Apple
10/03/2000,AAPL,4.491071,62151600,Apple
13/03/2000,AAPL,4.332589,75989200,Apple
14/03/2000,AAPL,4.080357,107144800,Apple
15/03/2000,AAPL,4.151786,110902400,Apple
16/03/2000,AAPL,4.341518,94525200,Apple
17/03/2000,AAPL,4.464286,76260800,Apple
20/03/2000,AAPL,4.392857,51122400,Apple
21/03/2000,AAPL,4.819196,131082000,Apple
22/03/2000,AAPL,5.149554,141999200,Apple
23/03/2000,AAPL,5.046875,140641200,Apple
24/03/2000,AAPL,4.953125,111728400,Apple
27/03/2000,AAPL,4.984375,69795600,Apple
28/03/2000,AAPL,4.96875,50741600,Apple
29/03/2000,AAPL,4.854911,59959200,Apple
30/03/2000,AAPL,4.491071,103600000,Apple
31/03/2000,AAPL,4.850446,101158400,Apple
03/04/2000,AAPL,4.761161,82140800,Apple
04/04/2000,AAPL,4.546875,165082400,Apple
05/04/2000,AAPL,4.65625,114416400,Apple
06/04/2000,AAPL,4.470982,64906800,Apple
07/04/2000,AAPL,4.705357,60608800,Apple
10/04/2000,AAPL,4.464286,53065600,Apple
11/04/2000,AAPL,4.265625,135455600,Apple
12/04/2000,AAPL,3.901786,235284000,Apple
13/04/2000,AAPL,4.064732,132456800,Apple
14/04/2000,AAPL,3.995536,166905200,Apple
17/04/2000,AAPL,4.424107,102390400,Apple
18/04/2000,AAPL,4.53125,97731200,Apple
19/04/2000,AAPL,4.325893,130037600,Apple
20/04/2000,AAPL,4.245536,180530000,Apple
24/04/2000,AAPL,4.303571,110905200,Apple
25/04/2000,AAPL,4.582589,97910400,Apple
26/04/2000,AAPL,4.332589,91728000,Apple
27/04/2000,AAPL,4.526786,81650800,Apple
28/04/2000,AAPL,4.430804,62395200,Apple
01/05/2000,AAPL,4.439732,56548800,Apple
02/05/2000,AAPL,4.209821,59108000,Apple
03/05/2000,AAPL,4.109375,122449600,Apple
04/05/2000,AAPL,3.953125,99878800,Apple
05/05/2000,AAPL,4.040179,71019200,Apple
08/05/2000,AAPL,3.933036,46225200,Apple
09/05/2000,AAPL,3.765625,81785200,Apple
10/05/2000,AAPL,3.546875,133772800,Apple
11/05/2000,AAPL,3.671875,124936000,Apple
12/05/2000,AAPL,3.84375,76728400,Apple
15/05/2000,AAPL,3.607143,169733200,Apple
16/05/2000,AAPL,3.774554,110112800,Apple
17/05/2000,AAPL,3.620536,99523200,Apple
18/05/2000,AAPL,3.598214,93444400,Apple
19/05/2000,AAPL,3.357143,185166800,Apple
22/05/2000,AAPL,3.212054,188876800,Apple
23/05/2000,AAPL,3.064732,129396400,Apple
24/05/2000,AAPL,3.131696,169615600,Apple
25/05/2000,AAPL,3.116629,101687600,Apple
26/05/2000,AAPL,3.084821,45287200,Apple
30/05/2000,AAPL,3.127232,178264800,Apple
31/05/2000,AAPL,3,108376800,Apple
01/06/2000,AAPL,3.183036,225960000,Apple
02/06/2000,AAPL,3.305804,198212000,Apple
05/06/2000,AAPL,3.261161,80917200,Apple
06/06/2000,AAPL,3.316964,131370400,Apple
07/06/2000,AAPL,3.448661,84254800,Apple
08/06/2000,AAPL,3.386161,59631600,Apple
09/06/2000,AAPL,3.419643,63089600,Apple
12/06/2000,AAPL,3.256696,72584400,Apple
13/06/2000,AAPL,3.375,87864000,Apple
14/06/2000,AAPL,3.229911,69361600,Apple
15/06/2000,AAPL,3.299107,62143200,Apple
16/06/2000,AAPL,3.256696,75891200,Apple
19/06/2000,AAPL,3.450893,98501200,Apple
20/06/2000,AAPL,3.616071,125347600,Apple
21/06/2000,AAPL,3.973214,122500000,Apple
22/06/2000,AAPL,3.839286,116928000,Apple
23/06/2000,AAPL,3.691964,51241400,Apple
26/06/2000,AAPL,3.866071,46338600,Apple
27/06/2000,AAPL,3.696429,50867600,Apple
28/06/2000,AAPL,3.888393,71607200,Apple
29/06/2000,AAPL,3.660714,50915200,Apple
30/06/2000,AAPL,3.741071,80774400,Apple
03/07/2000,AAPL,3.808036,17707200,Apple
05/07/2000,AAPL,3.6875,66304000,Apple
06/07/2000,AAPL,3.700893,77386400,Apple
07/07/2000,AAPL,3.888393,65900800,Apple
10/07/2000,AAPL,4.080357,99449000,Apple
11/07/2000,AAPL,4.066964,89474000,Apple
12/07/2000,AAPL,4.205357,56358400,Apple
13/07/2000,AAPL,4.035714,111414800,Apple
14/07/2000,AAPL,4.120536,47569200,Apple
17/07/2000,AAPL,4.165179,65000600,Apple
18/07/2000,AAPL,4.089286,79601200,Apple
19/07/2000,AAPL,3.763393,114468200,Apple
20/07/2000,AAPL,3.9375,116393200,Apple
21/07/2000,AAPL,3.825893,49058800,Apple
24/07/2000,AAPL,3.477679,103042800,Apple
25/07/2000,AAPL,3.575893,52901800,Apple
26/07/2000,AAPL,3.575893,52617600,Apple
27/07/2000,AAPL,3.714286,73746400,Apple
28/07/2000,AAPL,3.450893,59473400,Apple
31/07/2000,AAPL,3.629464,38824800,Apple
01/08/2000,AAPL,3.522321,34321000,Apple
02/08/2000,AAPL,3.375,40588800,Apple
03/08/2000,AAPL,3.428571,84974400,Apple
04/08/2000,AAPL,3.383929,65780400,Apple
07/08/2000,AAPL,3.424107,46837000,Apple
08/08/2000,AAPL,3.339286,44168600,Apple
09/08/2000,AAPL,3.392857,94910200,Apple
10/08/2000,AAPL,3.397321,62928600,Apple
11/08/2000,AAPL,3.40625,59514000,Apple
14/08/2000,AAPL,3.361607,39165000,Apple
15/08/2000,AAPL,3.334821,28550200,Apple
16/08/2000,AAPL,3.464286,35918400,Apple
17/08/2000,AAPL,3.674107,67725000,Apple
18/08/2000,AAPL,3.571429,47544000,Apple
21/08/2000,AAPL,3.607143,33616800,Apple
22/08/2000,AAPL,3.691964,69200600,Apple
23/08/2000,AAPL,3.879464,59215800,Apple
24/08/2000,AAPL,4.007807,77691600,Apple
25/08/2000,AAPL,4.058036,83615000,Apple
28/08/2000,AAPL,4.147321,89751200,Apple
29/08/2000,AAPL,4.227679,66757600,Apple
30/08/2000,AAPL,4.25,71348200,Apple
31/08/2000,AAPL,4.352679,104899200,Apple
01/09/2000,AAPL,4.53125,64218000,Apple
05/09/2000,AAPL,4.459821,74660600,Apple
06/09/2000,AAPL,4.174107,88851000,Apple
07/09/2000,AAPL,4.428571,54366200,Apple
08/09/2000,AAPL,4.205357,48879600,Apple
11/09/2000,AAPL,4.174107,46845400,Apple
12/09/2000,AAPL,4.125,46999400,Apple
13/09/2000,AAPL,4.142857,76496000,Apple
14/09/2000,AAPL,4.061378,106638000,Apple
15/09/2000,AAPL,3.945307,98628600,Apple
18/09/2000,AAPL,4.332586,106134000,Apple
19/09/2000,AAPL,4.28125,67877600,Apple
20/09/2000,AAPL,4.360486,56847000,Apple
21/09/2000,AAPL,4.049107,127622600,Apple
22/09/2000,AAPL,3.727679,181675200,Apple
25/09/2000,AAPL,3.821429,108887800,Apple
26/09/2000,AAPL,3.674107,72734200,Apple
27/09/2000,AAPL,3.495536,100564800,Apple
28/09/2000,AAPL,3.821429,244896400,Apple
29/09/2000,AAPL,1.839286,1855410200,Apple
02/10/2000,AAPL,1.732143,606197200,Apple
03/10/2000,AAPL,1.59375,509530000,Apple
04/10/2000,AAPL,1.6875,366506000,Apple
05/10/2000,AAPL,1.575893,218251600,Apple
06/10/2000,AAPL,1.584821,153164200,Apple
09/10/2000,AAPL,1.553571,149391200,Apple
10/10/2000,AAPL,1.491071,172775400,Apple
11/10/2000,AAPL,1.401786,299605600,Apple
12/10/2000,AAPL,1.428571,297766000,Apple
13/10/2000,AAPL,1.575893,311938200,Apple
16/10/2000,AAPL,1.535714,205044000,Apple
17/10/2000,AAPL,1.4375,150430000,Apple
18/10/2000,AAPL,1.4375,208566400,Apple
19/10/2000,AAPL,1.352679,376681200,Apple
20/10/2000,AAPL,1.392857,197815800,Apple
23/10/2000,AAPL,1.455357,137823000,Apple
24/10/2000,AAPL,1.348214,201112800,Apple
25/10/2000,AAPL,1.321429,165992400,Apple
26/10/2000,AAPL,1.321429,180462800,Apple
27/10/2000,AAPL,1.325893,186125800,Apple
30/10/2000,AAPL,1.379464,159797400,Apple
31/10/2000,AAPL,1.397321,221470200,Apple
01/11/2000,AAPL,1.464286,143841600,Apple
02/11/2000,AAPL,1.59375,147673400,Apple
03/11/2000,AAPL,1.589286,128955400,Apple
06/11/2000,AAPL,1.53125,98369600,Apple
07/11/2000,AAPL,1.522321,75490800,Apple
08/11/2000,AAPL,1.433036,105522200,Apple
09/11/2000,AAPL,1.441964,119208600,Apple
10/11/2000,AAPL,1.361607,105562800,Apple
13/11/2000,AAPL,1.383929,107954000,Apple
14/11/2000,AAPL,1.446429,102250400,Apple
15/11/2000,AAPL,1.419643,70589400,Apple
16/11/2000,AAPL,1.357143,59843000,Apple
17/11/2000,AAPL,1.321429,111545000,Apple
20/11/2000,AAPL,1.352679,102016600,Apple
21/11/2000,AAPL,1.34375,75488000,Apple
22/11/2000,AAPL,1.321429,70133000,Apple
24/11/2000,AAPL,1.379464,40233200,Apple
27/11/2000,AAPL,1.334821,64698200,Apple
28/11/2000,AAPL,1.287943,67281200,Apple
29/11/2000,AAPL,1.254464,123037600,Apple
30/11/2000,AAPL,1.178571,202399400,Apple
01/12/2000,AAPL,1.21875,96426400,Apple
04/12/2000,AAPL,1.191964,92880200,Apple
05/12/2000,AAPL,1.214286,153494600,Apple
06/12/2000,AAPL,1.022321,343616000,Apple
07/12/2000,AAPL,1.022321,102229400,Apple
08/12/2000,AAPL,1.075893,108906000,Apple
11/12/2000,AAPL,1.084821,83127800,Apple
